date,industry_code,pe_ttm,pb,dividend_yield
2022-01-04,801010,53.65,3.52,1.08
2022-01-04,801030,20.01,3.15,0.86
2022-01-04,801040,9.56,1.39,3.35
2022-01-04,801050,28.86,3.47,0.53
2022-01-04,801080,36.17,4.43,0.46
2022-01-04,801110,18.2,3.41,2.79
2022-01-04,801120,44.22,8.88,1.07
2022-01-04,801150,34.61,4.23,0.71
2022-01-04,801160,28.26,1.94,1.8
2022-01-04,801170,15.3,1.63,1.26
2022-01-04,801180,8.46,0.98,3.71
2022-01-04,801890,26.77,2.87,0.96
2022-01-04,801880,31.42,2.61,1.19
2022-01-04,801790,14.46,1.52,2.16
2022-01-04,801780,6.03,0.6,4.04
2022-01-04,801760,32.68,2.74,1.05
2022-01-04,801750,54.02,4.28,0.53
2022-01-04,801730,53.62,6.08,0.31
2022-01-04,801710,14.66,2.33,1.89
2022-01-04,801770,38.6,2.38,0.64
2022-01-05,801170,15.31,1.63,1.26
2022-01-05,801160,27.44,1.88,1.86
2022-01-05,801150,33.89,4.14,0.72
2022-01-05,801120,43.97,8.83,1.08
2022-01-05,801050,28.12,3.38,0.55
2022-01-05,801080,34.84,4.27,0.48
2022-01-05,801040,9.39,1.36,3.41
2022-01-05,801030,19.66,3.09,0.88
2022-01-05,801010,53.73,3.51,1.08
2022-01-05,801180,8.53,0.98,3.69
2022-01-05,801110,18.44,3.46,2.75
2022-01-05,801890,26.28,2.82,0.98
2022-01-05,801790,14.42,1.51,2.17
2022-01-05,801780,6.14,0.62,3.97
2022-01-05,801880,30.72,2.55,1.22
2022-01-05,801760,32.88,2.75,1.04
2022-01-05,801750,53.62,4.25,0.53
2022-01-05,801730,51.68,5.86,0.32
2022-01-05,801710,14.51,2.3,1.91
2022-01-05,801770,38.05,2.35,0.63
2022-01-06,801180,8.5,0.98,3.7
2022-01-06,801170,15.19,1.62,1.27
2022-01-06,801160,27.32,1.87,1.86
2022-01-06,801150,33.96,4.15,0.72
2022-01-06,801110,18.31,3.43,2.77
2022-01-06,801080,34.69,4.25,0.48
2022-01-06,801050,28.45,3.43,0.54
2022-01-06,801040,9.6,1.39,3.33
2022-01-06,801030,19.84,3.12,0.87
2022-01-06,801010,53.26,3.48,1.09
2022-01-06,801120,43.28,8.69,1.1
2022-01-06,801710,14.8,2.35,1.87
2022-01-06,801890,26.65,2.85,0.97
2022-01-06,801880,30.69,2.54,1.22
2022-01-06,801790,14.18,1.49,2.2
2022-01-06,801770,38.0,2.35,0.63
2022-01-06,801760,32.32,2.71,1.06
2022-01-06,801750,53.1,4.2,0.54
2022-01-06,801730,51.65,5.86,0.32
2022-01-06,801780,6.1,0.61,4.0
2022-01-07,801180,8.71,1.01,3.61
2022-01-07,801170,15.19,1.62,1.27
2022-01-07,801160,26.9,1.84,1.89
2022-01-07,801150,33.69,4.12,0.72
2022-01-07,801050,27.82,3.35,0.55
2022-01-07,801110,18.77,3.52,2.7
2022-01-07,801080,34.23,4.2,0.49
2022-01-07,801040,9.68,1.4,3.3
2022-01-07,801030,19.47,3.06,0.89
2022-01-07,801010,52.1,3.41,1.11
2022-01-07,801120,42.57,8.55,1.12
2022-01-07,801710,15.17,2.41,1.83
2022-01-07,801890,26.49,2.83,0.97
2022-01-07,801880,30.31,2.51,1.23
2022-01-07,801790,14.31,1.5,2.18
2022-01-07,801770,37.53,2.32,0.64
2022-01-07,801760,31.8,2.66,1.07
2022-01-07,801750,52.08,4.12,0.55
2022-01-07,801730,50.75,5.76,0.33
2022-01-07,801780,6.19,0.62,3.94
2022-01-10,801170,15.2,1.62,1.27
2022-01-10,801160,26.79,1.84,1.9
2022-01-10,801150,34.18,4.18,0.71
2022-01-10,801120,42.62,8.56,1.11
2022-01-10,801050,28.06,3.38,0.55
2022-01-10,801080,34.33,4.21,0.49
2022-01-10,801040,9.64,1.4,3.31
2022-01-10,801030,19.6,3.08,0.88
2022-01-10,801010,53.97,3.53,1.08
2022-01-10,801180,8.81,1.02,3.56
2022-01-10,801110,18.79,3.52,2.7
2022-01-10,801890,26.49,2.84,0.97
2022-01-10,801880,30.62,2.54,1.22
2022-01-10,801790,14.32,1.5,2.18
2022-01-10,801780,6.22,0.62,3.92
2022-01-10,801760,31.74,2.65,1.07
2022-01-10,801750,52.86,4.18,0.54
2022-01-10,801730,50.43,5.72,0.33
2022-01-10,801710,15.16,2.41,1.83
2022-01-10,801770,37.93,2.34,0.63
2022-01-11,801180,8.82,1.02,3.56
2022-01-11,801170,15.22,1.62,1.27
2022-01-11,801160,26.8,1.84,1.9
2022-01-11,801150,34.35,4.2,0.71
2022-01-11,801050,28.0,3.37,0.55
2022-01-11,801110,18.41,3.45,2.76
2022-01-11,801080,33.56,4.12,0.5
2022-01-11,801040,9.65,1.4,3.31
2022-01-11,801030,19.62,3.09,0.88
2022-01-11,801010,52.6,3.44,1.1
2022-01-11,801120,41.94,8.42,1.13
2022-01-11,801710,14.94,2.37,1.85
2022-01-11,801890,26.25,2.81,0.98
2022-01-11,801880,30.11,2.5,1.24
2022-01-11,801790,14.29,1.5,2.19
2022-01-11,801770,37.51,2.32,0.64
2022-01-11,801760,31.12,2.6,1.1
2022-01-11,801750,51.86,4.1,0.55
2022-01-11,801730,50.19,5.68,0.33
2022-01-11,801780,6.28,0.63,3.89
2022-01-12,801180,8.76,1.01,3.59
2022-01-12,801170,15.22,1.62,1.27
2022-01-12,801160,26.91,1.85,1.89
2022-01-12,801150,34.67,4.24,0.7
2022-01-12,801050,28.89,3.48,0.53
2022-01-12,801110,18.34,3.44,2.77
2022-01-12,801080,34.12,4.19,0.49
2022-01-12,801040,9.52,1.38,3.36
2022-01-12,801030,19.93,3.14,0.86
2022-01-12,801010,53.34,3.48,1.09
2022-01-12,801120,42.47,8.54,1.12
2022-01-12,801710,14.71,2.34,1.88
2022-01-12,801880,30.88,2.56,1.21
2022-01-12,801790,14.31,1.5,2.19
2022-01-12,801890,26.5,2.84,0.97
2022-01-12,801770,39.35,2.21,0.6
2022-01-12,801760,31.49,2.63,1.08
2022-01-12,801750,52.3,4.13,0.55
2022-01-12,801730,52.16,5.9,0.32
2022-01-12,801780,6.27,0.63,3.9
2022-01-13,801180,8.63,1.0,3.64
2022-01-13,801170,15.1,1.61,1.28
2022-01-13,801160,26.69,1.83,1.91
2022-01-13,801150,33.95,4.15,0.72
2022-01-13,801010,52.1,3.4,1.12
2022-01-13,801110,17.91,3.36,2.83
2022-01-13,801080,33.45,4.1,0.5
2022-01-13,801050,28.42,3.42,0.54
2022-01-13,801040,9.34,1.36,3.42
2022-01-13,801030,19.55,3.08,0.88
2022-01-13,801120,41.07,8.25,1.16
2022-01-13,801710,14.24,2.26,1.94
2022-01-13,801890,26.09,2.79,0.99
2022-01-13,801880,30.64,2.54,1.22
2022-01-13,801780,6.26,0.63,3.9
2022-01-13,801770,38.87,2.18,0.6
2022-01-13,801760,30.85,2.57,1.1
2022-01-13,801750,51.99,4.11,0.55
2022-01-13,801730,51.48,5.83,0.32
2022-01-13,801790,14.21,1.49,2.2
2022-01-14,801180,8.41,0.97,3.74
2022-01-14,801170,14.93,1.59,1.29
2022-01-14,801160,26.49,1.82,1.92
2022-01-14,801150,34.48,4.22,0.71
2022-01-14,801110,17.72,3.32,2.86
2022-01-14,801080,33.81,4.15,0.49
2022-01-14,801050,28.31,3.41,0.54
2022-01-14,801040,9.22,1.34,3.46
2022-01-14,801030,19.52,3.07,0.88
2022-01-14,801010,51.75,3.38,1.12
2022-01-14,801120,40.7,8.18,1.17
2022-01-14,801710,14.15,2.25,1.96
2022-01-14,801890,25.84,2.76,1.0
2022-01-14,801880,30.7,2.55,1.21
2022-01-14,801790,13.86,1.46,2.25
2022-01-14,801770,38.77,2.18,0.6
2022-01-14,801760,30.94,2.58,1.1
2022-01-14,801750,51.96,4.11,0.55
2022-01-14,801730,52.06,5.89,0.32
2022-01-14,801780,6.12,0.61,3.99
2022-01-17,801180,8.49,0.98,3.7
2022-01-17,801170,14.87,1.58,1.3
2022-01-17,801160,26.54,1.82,1.92
2022-01-17,801150,34.64,4.24,0.7
2022-01-17,801050,28.19,3.39,0.54
2022-01-17,801110,17.88,3.35,2.84
2022-01-17,801080,34.61,4.25,0.48
2022-01-17,801040,9.24,1.34,3.46
2022-01-17,801030,19.66,3.1,0.87
2022-01-17,801010,51.91,3.39,1.12
2022-01-17,801120,40.81,8.2,1.16
2022-01-17,801710,14.17,2.25,1.96
2022-01-17,801890,26.14,2.8,0.98
2022-01-17,801880,31.4,2.61,1.19
2022-01-17,801790,13.94,1.46,2.24
