date,industry_code,pe_ttm,pb,dividend_yield
2024-01-02,801010,50.98,2.7,1.1
2024-01-02,801030,21.63,1.82,1.68
2024-01-02,801040,21.73,0.9,1.77
2024-01-02,801050,15.96,2.04,1.94
2024-01-02,801080,46.12,2.63,0.5
2024-01-02,801110,12.33,2.19,3.45
2024-01-02,801120,24.62,5.17,2.44
2024-01-02,801150,28.26,2.76,1.09
2024-01-02,801160,19.22,1.49,2.27
2024-01-02,801170,14.27,1.25,2.71
2024-01-02,801180,12.69,0.69,2.51
2024-01-02,801890,28.36,2.18,0.92
2024-01-02,801880,24.81,2.07,1.18
2024-01-02,801790,14.44,1.04,2.63
2024-01-02,801780,4.38,0.43,5.89
2024-01-02,801760,37.13,2.32,1.5
2024-01-02,801750,60.36,3.22,0.51
2024-01-02,801730,16.91,2.32,1.22
2024-01-02,801710,17.31,1.18,2.61
2024-01-02,801770,28.65,2.11,1.15
2024-01-03,801170,14.32,1.25,2.7
2024-01-03,801160,19.45,1.51,2.24
2024-01-03,801150,28.25,2.75,1.1
2024-01-03,801120,24.58,5.16,2.45
2024-01-03,801050,15.92,2.04,1.95
2024-01-03,801080,45.11,2.58,0.51
2024-01-03,801040,21.91,0.9,1.76
2024-01-03,801030,21.73,1.82,1.67
2024-01-03,801010,50.54,2.68,1.1
2024-01-03,801180,12.76,0.69,2.5
2024-01-03,801110,12.23,2.17,3.47
2024-01-03,801890,28.1,2.16,0.94
2024-01-03,801790,14.47,1.04,2.62
2024-01-03,801780,4.4,0.43,5.87
2024-01-03,801880,24.57,2.05,1.19
2024-01-03,801760,37.45,2.34,1.49
2024-01-03,801750,59.61,3.18,0.52
2024-01-03,801730,16.9,2.32,1.22
2024-01-03,801710,17.34,1.19,2.6
2024-01-03,801770,28.29,2.08,1.17
2024-01-04,801180,12.58,0.68,2.53
2024-01-04,801170,14.27,1.25,2.71
2024-01-04,801160,19.42,1.51,2.25
2024-01-04,801150,28.06,2.74,1.1
2024-01-04,801110,12.32,2.19,3.46
2024-01-04,801080,44.5,2.54,0.51
2024-01-04,801050,15.77,2.02,1.96
2024-01-04,801040,21.91,0.9,1.76
2024-01-04,801030,21.62,1.81,1.69
2024-01-04,801010,50.15,2.66,1.11
2024-01-04,801120,24.16,5.07,2.49
2024-01-04,801710,17.18,1.18,2.62
2024-01-04,801890,27.9,2.15,0.94
2024-01-04,801880,24.41,2.04,1.2
2024-01-04,801790,14.31,1.03,2.65
2024-01-04,801770,28.17,2.07,1.17
2024-01-04,801760,37.1,2.32,1.5
2024-01-04,801750,59.07,3.16,0.52
2024-01-04,801730,16.62,2.28,1.24
2024-01-04,801780,4.41,0.43,5.85
2024-01-05,801180,12.56,0.68,2.54
2024-01-05,801170,14.17,1.24,2.73
2024-01-05,801160,19.29,1.5,2.26
2024-01-05,801150,27.53,2.68,1.12
2024-01-05,801050,15.66,2.0,1.98
2024-01-05,801110,12.44,2.21,3.42
2024-01-05,801080,43.79,2.5,0.52
2024-01-05,801040,21.75,0.9,1.77
2024-01-05,801030,21.32,1.79,1.71
2024-01-05,801010,49.53,2.62,1.13
2024-01-05,801120,23.98,5.03,2.51
2024-01-05,801710,17.05,1.17,2.63
2024-01-05,801890,27.48,2.12,0.96
2024-01-05,801880,24.15,2.02,1.21
2024-01-05,801790,14.25,1.03,2.66
2024-01-05,801770,27.44,2.02,1.2
2024-01-05,801760,36.27,2.27,1.54
2024-01-05,801750,58.33,3.1,0.53
2024-01-05,801730,16.35,2.24,1.26
2024-01-05,801780,4.46,0.44,5.79
2024-01-08,801170,14.0,1.22,2.77
2024-01-08,801160,19.06,1.48,2.28
2024-01-08,801150,27.04,2.64,1.15
2024-01-08,801120,23.64,4.96,2.55
2024-01-08,801050,15.45,1.97,2.01
2024-01-08,801080,42.67,2.44,0.54
