date,industry_code,pe_ttm,pb,dividend_yield
2021-01-04,801890,30.52,2.7,0.71
2021-01-04,801010,17.11,3.8,1.15
2021-01-04,801030,31.67,2.63,1.03
2021-01-04,801040,14.82,1.01,2.07
2021-01-04,801050,51.71,2.9,0.44
2021-01-04,801080,50.71,4.38,0.42
2021-01-04,801110,28.73,4.22,1.89
2021-01-04,801120,55.04,11.07,0.77
2021-01-04,801150,45.27,4.75,0.53
2021-01-04,801160,18.65,1.41,1.84
2021-01-04,801170,25.14,1.53,1.49
2021-01-04,801880,32.49,2.4,1.06
2021-01-04,801790,18.67,1.99,1.61
2021-01-04,801780,7.1,0.7,4.01
2021-01-04,801770,37.84,2.35,0.47
2021-01-04,801760,36.59,2.53,0.76
2021-01-04,801750,72.03,4.3,0.33
2021-01-04,801180,8.35,1.11,3.59
2021-01-04,801730,51.31,4.61,0.36
2021-01-04,801710,14.78,2.19,1.98
2021-01-05,801150,45.96,4.82,0.52
2021-01-05,801120,57.77,11.62,0.74
2021-01-05,801110,29.51,4.34,1.84
2021-01-05,801040,14.77,1.0,2.08
2021-01-05,801050,52.31,2.93,0.43
2021-01-05,801030,32.28,2.68,1.02
2021-01-05,801010,17.75,3.94,1.11
2021-01-05,801160,18.41,1.39,1.87
2021-01-05,801080,52.55,4.53,0.4
2021-01-05,801170,25.41,1.55,1.47
2021-01-05,801180,8.34,1.11,3.6
2021-01-05,801890,30.86,2.73,0.71
2021-01-05,801880,32.47,2.4,1.06
2021-01-05,801790,18.57,1.98,1.62
2021-01-05,801780,7.01,0.69,4.07
2021-01-05,801760,36.26,2.51,0.77
2021-01-05,801750,72.43,4.33,0.32
2021-01-05,801770,38.06,2.37,0.47
2021-01-05,801730,51.58,4.64,0.35
2021-01-05,801710,14.79,2.19,1.98
2021-01-06,801160,18.53,1.4,1.85
2021-01-06,801150,46.57,4.88,0.51
2021-01-06,801120,58.31,11.72,0.73
2021-01-06,801170,25.13,1.53,1.49
2021-01-06,801080,51.76,4.43,0.41
2021-01-06,801050,52.43,2.94,0.43
2021-01-06,801040,14.83,1.0,2.07
