date,industry_code,pe_ttm,pb,dividend_yield
2023-01-03,801010,97.28,3.06,0.47
2023-01-03,801030,14.29,2.27,1.69
2023-01-03,801040,16.58,1.0,4.6
2023-01-03,801050,14.49,2.55,0.95
2023-01-03,801080,29.22,2.64,1.0
2023-01-03,801110,13.39,2.4,3.55
2023-01-03,801120,33.95,6.53,1.84
2023-01-03,801150,23.69,3.18,0.99
2023-01-03,801160,24.94,1.63,1.61
2023-01-03,801170,11.69,1.43,3.09
2023-01-03,801180,13.2,0.88,2.71
2023-01-03,801890,30.16,2.31,1.23
2023-01-03,801880,31.39,2.13,1.2
2023-01-03,801790,14.79,1.14,2.97
2023-01-03,801780,4.95,0.5,4.88
2023-01-03,801760,32.67,1.98,1.44
2023-01-03,801750,50.57,3.23,0.62
2023-01-03,801730,27.27,3.68,0.57
2023-01-03,801710,14.03,1.6,3.23
2023-01-03,801770,25.48,1.88,1.23
2023-01-04,801180,13.7,0.92,2.61
2023-01-04,801160,24.88,1.63,1.61
2023-01-04,801150,23.75,3.19,0.98
2023-01-04,801120,33.96,6.53,1.84
2023-01-04,801050,14.27,2.51,0.96
2023-01-04,801080,28.86,2.61,1.01
2023-01-04,801040,16.57,1.0,4.6
2023-01-04,801030,14.27,2.27,1.69
2023-01-04,801010,97.5,3.06,0.47
2023-01-04,801110,13.69,2.45,3.47
2023-01-04,801170,11.7,1.43,3.09
2023-01-04,801710,14.37,1.64,3.16
2023-01-04,801890,30.14,2.31,1.23
2023-01-04,801880,31.21,2.12,1.21
2023-01-04,801790,14.97,1.15,2.93
2023-01-04,801770,25.65,1.89,1.22
2023-01-04,801760,33.05,2.0,1.43
2023-01-04,801750,50.96,3.26,0.61
2023-01-04,801730,26.77,3.61,0.58
2023-01-04,801780,5.05,0.51,4.78
2023-01-05,801180,13.72,0.92,2.6
2023-01-05,801160,25.0,1.63,1.61
2023-01-05,801150,24.17,3.25,0.97
2023-01-05,801120,35.34,6.8,1.76
2023-01-05,801050,14.45,2.54,0.95
2023-01-05,801080,29.25,2.65,1.0
2023-01-05,801040,16.63,1.0,4.58
2023-01-05,801030,14.37,2.29,1.68
2023-01-05,801010,97.56,3.07,0.47
2023-01-05,801110,14.0,2.51,3.4
2023-01-05,801170,11.84,1.45,3.06
2023-01-05,801710,14.54,1.66,3.12
2023-01-05,801890,30.35,2.32,1.22
2023-01-05,801880,31.81,2.16,1.18
2023-01-05,801790,15.2,1.17,2.89
2023-01-05,801780,5.05,0.51,4.78
2023-01-05,801760,33.34,2.02,1.41
2023-01-05,801750,51.24,3.28,0.61
2023-01-05,801730,27.57,3.72,0.56
2023-01-05,801770,25.75,1.9,1.21
2023-01-06,801180,13.56,0.91,2.63
2023-01-06,801170,11.68,1.43,3.1
2023-01-06,801160,25.19,1.65,1.59
2023-01-06,801150,23.96,3.22,0.98
2023-01-06,801080,29.27,2.65,1.0
2023-01-06,801120,35.28,6.79,1.77
2023-01-06,801110,13.94,2.49,3.42
2023-01-06,801050,14.65,2.57,0.94
2023-01-06,801040,16.74,1.01,4.55
2023-01-06,801030,14.56,2.32,1.66
2023-01-06,801010,96.96,3.05,0.47
2023-01-06,801710,14.63,1.67,3.1
2023-01-06,801890,30.45,2.33,1.21
2023-01-06,801880,32.18,2.18,1.17
2023-01-06,801780,5.04,0.51,4.79
2023-01-06,801770,25.32,1.88,1.21
2023-01-06,801760,32.54,1.97,1.45
2023-01-06,801750,50.8,3.25,0.61
2023-01-06,801730,28.43,3.84,0.54
2023-01-06,801790,15.23,1.17,2.88
2023-01-09,801180,13.42,0.9,2.66
2023-01-09,801170,11.73,1.43,3.08
2023-01-09,801150,24.11,3.24,0.97
2023-01-09,801120,36.01,6.92,1.73
2023-01-09,801080,29.52,2.67,0.99
2023-01-09,801050,15.07,2.65,0.91
2023-01-09,801040,16.79,1.01,4.54
2023-01-09,801030,14.65,2.33,1.65
2023-01-09,801010,98.53,3.1,0.46
2023-01-09,801110,13.95,2.49,3.42
2023-01-09,801160,24.97,1.63,1.61
2023-01-09,801710,14.64,1.67,3.1
2023-01-09,801890,30.66,2.35,1.21
