date,industry_code,pe_ttm,pb,dividend_yield
2026-01-05,801010,23.87,2.61,1.66
2026-01-05,801030,30.54,2.26,1.17
2026-01-05,801040,31.89,1.17,1.27
2026-01-05,801050,29.23,3.61,1.09
2026-01-05,801080,68.69,5.21,0.37
2026-01-05,801110,15.0,2.53,3.71
2026-01-05,801120,21.3,3.87,3.95
2026-01-05,801150,37.57,2.81,1.16
2026-01-05,801160,19.46,1.6,2.16
2026-01-05,801170,18.36,1.33,2.6
2026-01-05,801180,60.03,0.82,0.71
2026-01-05,801890,39.9,3.22,0.96
2026-01-05,801880,29.64,2.73,1.31
2026-01-05,801790,13.68,1.42,1.86
2026-01-05,801780,6.38,0.54,4.91
2026-01-05,801760,45.21,3.19,1.07
2026-01-05,801750,88.03,4.53,0.51
2026-01-05,801730,40.17,3.33,0.81
2026-01-05,801710,29.36,1.39,2.62
2026-01-05,801770,50.19,4.97,0.72
2026-01-06,801170,18.55,1.34,2.58
2026-01-06,801160,19.63,1.61,2.14
2026-01-06,801150,37.87,2.83,1.15
2026-01-06,801120,21.41,3.89,3.93
2026-01-06,801050,30.48,3.76,1.05
2026-01-06,801080,69.83,5.3,0.36
2026-01-06,801040,32.56,1.2,1.24
2026-01-06,801030,31.55,2.34,1.13
2026-01-06,801010,24.13,2.63,1.65
2026-01-06,801180,60.8,0.83,0.7
2026-01-06,801110,15.08,2.54,3.69
2026-01-06,801890,40.21,3.25,0.96
2026-01-06,801790,14.21,1.47,1.79
2026-01-06,801780,6.41,0.55,4.88
2026-01-06,801880,30.08,2.77,1.3
2026-01-06,801760,45.67,3.22,1.06
2026-01-06,801750,89.98,4.63,0.5
2026-01-06,801730,40.62,3.37,0.8
2026-01-06,801710,29.56,1.4,2.61
2026-01-06,801770,49.82,4.94,0.72
2026-01-07,801180,60.88,0.83,0.7
2026-01-07,801170,18.45,1.34,2.59
2026-01-07,801160,19.65,1.62,2.13
2026-01-07,801150,38.08,2.85,1.14
2026-01-07,801110,15.01,2.53,3.71
2026-01-07,801080,70.68,5.37,0.36
2026-01-07,801050,30.57,3.77,1.04
2026-01-07,801040,32.74,1.2,1.23
2026-01-07,801030,31.63,2.34,1.13
2026-01-07,801010,24.05,2.62,1.65
2026-01-07,801120,21.32,3.87,3.95
2026-01-07,801710,29.52,1.4,2.61
2026-01-07,801890,40.41,3.27,0.95
2026-01-07,801880,29.97,2.76,1.3
2026-01-07,801790,14.06,1.46,1.82
2026-01-07,801770,50.48,5.0,0.72
2026-01-07,801760,45.76,3.23,1.06
2026-01-07,801750,89.21,4.59,0.5
2026-01-07,801730,40.89,3.39,0.79
