date,industry_code,pe_ttm,pb,dividend_yield
2019-01-02,801890,23.5,1.67,1.07
2019-01-02,801010,25.96,2.45,1.26
2019-01-02,801030,13.14,1.55,2.15
2019-01-02,801040,5.69,0.98,3.47
2019-01-02,801050,22.69,1.71,1.21
2019-01-02,801080,23.19,2.13,0.98
2019-01-02,801110,10.61,2.2,1.83
2019-01-02,801120,22.6,4.17,1.96
2019-01-02,801150,23.95,2.61,1.08
2019-01-02,801160,19.16,1.4,1.82
2019-01-02,801170,16.14,1.26,1.86
2019-01-02,801880,13.29,1.37,3.01
2019-01-02,801790,14.84,1.43,2.48
2019-01-02,801780,5.85,0.72,3.56
2019-01-02,801770,35.78,2.23,0.48
2019-01-02,801760,21.1,1.71,0.95
2019-01-02,801750,37.51,2.56,0.56
2019-01-02,801180,8.76,1.23,2.99
2019-01-02,801730,22.56,1.64,1.12
2019-01-02,801710,10.15,1.52,2.07
2019-01-03,801160,19.07,1.39,1.83
2019-01-03,801150,23.49,2.56,1.1
2019-01-03,801120,22.19,4.09,2.0
2019-01-03,801050,22.96,1.73,1.2
2019-01-03,801080,22.74,2.09,0.99
2019-01-03,801040,5.71,0.98,3.46
2019-01-03,801030,13.01,1.53,2.17
2019-01-03,801010,25.93,2.45,1.26
2019-01-03,801170,16.1,1.26,1.87
2019-01-03,801110,10.55,2.19,1.84
2019-01-03,801180,8.75,1.23,2.99
2019-01-03,801880,13.16,1.36,3.03
2019-01-03,801790,15.07,1.45,2.44
2019-01-03,801780,5.9,0.73,3.52
2019-01-03,801770,34.99,2.18,0.5
2019-01-03,801760,20.98,1.7,0.95
2019-01-03,801890,23.48,1.67,1.08
2019-01-03,801730,22.54,1.63,1.12
2019-01-03,801710,9.98,1.5,2.1
2019-01-03,801750,37.34,2.54,0.57
2019-01-04,801150,24.15,2.63,1.07
2019-01-04,801120,22.59,4.17,1.97
2019-01-04,801110,10.78,2.23,1.8
2019-01-04,801040,5.81,1.0,3.4
2019-01-04,801050,23.52,1.77,1.17
2019-01-04,801030,13.27,1.56,2.13
2019-01-04,801010,26.64,2.52,1.22
2019-01-04,801160,19.4,1.41,1.81
2019-01-04,801080,23.23,2.13,0.97
2019-01-04,801170,16.35,1.28,1.84
2019-01-04,801180,8.97,1.26,2.92
2019-01-04,801890,24.07,1.71,1.05
2019-01-04,801880,13.36,1.38,2.99
