event_date,event_name,industry_code,real_CAR,real_dir,final_dir,dir_correct,MAE,RMSE,DirectionAcc,Coverage_95,Sharpe,WinRate,triggered,ts_pre_signal,llm_signal,disagreement,debate_abstained,debate_confidence,event_VaR,expected_MDD,tail_prob,risk_lo,risk_hi,dispersion,CAR_dir_T1,CAR_dir_T3,CAR_dir_T5,CAR_dir_T10
2020-01-01,央行宣布全面下调金融机构存款准备金率0.5个百分点（自1月6日起实施）,801780,-0.010662,-,+,False,0.0386,0.0421,0.4583,0.9167,-3.4248,0.4583,False,+,+,False,,,-0.08624,0.0,0.05,-0.08624,0.1204,0.0,True,True,True,False
2020-01-01,央行宣布全面下调金融机构存款准备金率0.5个百分点（自1月6日起实施）,801790,-0.019126,-,+,False,0.0311,0.0375,0.5833,0.9167,-2.3825,0.5833,False,+,+,False,,,-0.11689,0.0,0.05,-0.11689,0.1601,0.0,True,True,False,False
2020-01-01,央行宣布全面下调金融机构存款准备金率0.5个百分点（自1月6日起实施）,801180,-0.010388,-,+,False,0.0145,0.0227,0.4583,0.875,0.7637,0.4583,False,+,,False,,,-0.09145,0.0009,0.05,-0.09145,0.12239,0.0,False,True,False,False
2020-02-03,央行开展1.2万亿元逆回购操作并下调7天、14天逆回购中标利率10个基,801780,-0.026806,-,+,False,0.012,0.0178,0.5417,0.8333,3.0949,0.5,False,+,,False,,,-0.05768,0.0003,0.05,-0.05768,0.10547,0.0,True,False,False,False
2020-02-03,央行开展1.2万亿元逆回购操作并下调7天、14天逆回购中标利率10个基,801790,-0.027079,-,+,False,0.0167,0.0265,0.6667,0.75,0.1247,0.625,False,+,,False,,,-0.08057,0.0,0.05,-0.08057,0.13369,0.0,False,False,False,False
2020-02-03,央行开展1.2万亿元逆回购操作并下调7天、14天逆回购中标利率10个基,801180,-0.02662,-,+,False,0.0153,0.0242,0.5,0.8333,-0.6843,0.5,False,+,,False,,,-0.09382,0.0,0.05,-0.09382,0.14034,0.0,False,False,False,False
2020-02-17,央行开展中期借贷便利（MLF）操作，1年期中标利率下调10个基点至3.,801780,-0.032234,-,+,False,0.0171,0.0209,0.375,0.7917,-5.2175,0.3333,False,+,+,False,,,-0.10052,0.0,0.05,-0.10052,0.15651,0.0,True,True,True,False
2020-02-17,央行开展中期借贷便利（MLF）操作，1年期中标利率下调10个基点至3.,801790,0.020116,+,+,True,0.0194,0.0242,0.5833,0.8333,2.6202,0.5833,False,+,,False,,,-0.12622,0.0,0.05,-0.12622,0.19419,0.0,True,True,True,False
2020-02-17,央行开展中期借贷便利（MLF）操作，1年期中标利率下调10个基点至3.,801180,-0.046862,-,+,False,0.0185,0.0224,0.4167,0.9167,-3.6251,0.4167,False,+,,False,,,-0.15378,0.0,0.05,-0.15378,0.22195,0.0,True,True,True,False
2020-02-20,LPR下调：1年期降至4.05%(-10bp)，5年期降至4.75%(,801780,-0.012185,-,+,False,0.0153,0.0195,0.5417,0.8333,-1.4142,0.5,False,+,,False,,,-0.09162,0.00284,0.05,-0.09162,0.13207,0.0,False,False,False,False
2020-02-20,LPR下调：1年期降至4.05%(-10bp)，5年期降至4.75%(,801790,0.0052,+,+,True,0.0218,0.0255,0.5417,0.6667,3.4066,0.5,False,+,,False,,,-0.11233,0.0,0.05,-0.11233,0.16268,0.0,True,True,True,True
2020-02-20,LPR下调：1年期降至4.05%(-10bp)，5年期降至4.75%(,801180,-0.008532,-,-,True,0.0196,0.0243,0.5833,0.7917,0.7233,0.5417,False,+,+,False,,,-0.1229,0.015,0.05,-0.1229,0.18705,0.0,False,True,False,False
2020-03-13,央行宣布定向降准：对达到普惠金融考核标准的银行下调存款准备金率0.5-,801780,0.006871,+,-,False,0.0429,0.0464,0.625,0.9167,2.3361,0.625,False,+,+,False,,,-0.14991,0.29213,0.05,-0.14991,0.17624,0.0,True,True,True,True
