event_date,industry_code,event_type,event_name,real_CAR,real_dir,pred_dir,dir_correct,llm_raw_response
2020-02-20,801780,monetary_policy,LPR下调：1年期降至4.05%(-10bp)，5年期降至4.75%(-5bp),-0.012185,-,+,False,+
2020-02-20,801790,monetary_policy,LPR下调：1年期降至4.05%(-10bp)，5年期降至4.75%(-5bp),0.0052,+,+,True,+
2020-02-20,801180,monetary_policy,LPR下调：1年期降至4.05%(-10bp)，5年期降至4.75%(-5bp),-0.008532,-,+,False,+
2020-04-20,801780,monetary_policy,LPR下调：1年期降至3.85%(-20bp)，5年期降至4.65%(-10bp),0.007995,+,+,True,+
2020-04-20,801790,monetary_policy,LPR下调：1年期降至3.85%(-20bp)，5年期降至4.65%(-10bp),-0.022017,-,+,False,+
2020-04-20,801180,monetary_policy,LPR下调：1年期降至3.85%(-20bp)，5年期降至4.65%(-10bp),-0.007232,-,+,False,+
2020-04-20,801710,monetary_policy,LPR下调：1年期降至3.85%(-20bp)，5年期降至4.65%(-10bp),0.019768,+,+,True,+
2020-09-22,801730,industry_policy,双碳目标宣布：2030年碳达峰、2060年碳中和,0.009221,+,+,True,+
2020-09-22,801160,industry_policy,双碳目标宣布：2030年碳达峰、2060年碳中和,-0.02192,-,-,True,-
2020-09-22,801050,industry_policy,双碳目标宣布：2030年碳达峰、2060年碳中和,-0.044047,-,-,True,-
2020-09-22,801770,industry_policy,双碳目标宣布：2030年碳达峰、2060年碳中和,-0.026561,-,-,True,-
2021-07-26,801760,industry_policy,教育双减政策：学科类培训机构不得上市融资,-0.01686,-,-,True,-
2021-12-06,801780,monetary_policy,央行全面降准0.5个百分点，释放长期资金约1.2万亿元,-0.022146,-,+,False,+
2021-12-06,801790,monetary_policy,央行全面降准0.5个百分点，释放长期资金约1.2万亿元,0.004962,+,+,True,+
2021-12-06,801180,monetary_policy,央行全面降准0.5个百分点，释放长期资金约1.2万亿元,-0.022505,-,+,False,+
2021-12-20,801780,monetary_policy,LPR下调：1年期降至3.80%(-5bp)，5年期维持4.65%不变,-0.006363,-,+,False,+
2021-12-20,801790,monetary_policy,LPR下调：1年期降至3.80%(-5bp)，5年期维持4.65%不变,-0.007883,-,+,False,+
2022-01-20,801780,monetary_policy,LPR双降：1年期降至3.70%(-10bp)，5年期降至4.60%(-5bp),0.029385,+,+,True,+
2022-01-20,801790,monetary_policy,LPR双降：1年期降至3.70%(-10bp)，5年期降至4.60%(-5bp),0.003165,+,+,True,+
2022-01-20,801180,monetary_policy,LPR双降：1年期降至3.70%(-10bp)，5年期降至4.60%(-5bp),-0.020592,-,+,False,+
2022-01-20,801710,monetary_policy,LPR双降：1年期降至3.70%(-10bp)，5年期降至4.60%(-5bp),-0.040695,-,+,False,+
2022-04-15,801780,monetary_policy,央行降准0.25个百分点：释放长期资金约5300亿元,0.025073,+,+,True,+
2022-04-15,801790,monetary_policy,央行降准0.25个百分点：释放长期资金约5300亿元,0.004824,+,+,True,+
2022-04-15,801180,monetary_policy,央行降准0.25个百分点：释放长期资金约5300亿元,-0.011641,-,+,False,+
