event_date,event_name,industry_code,real_CAR,real_dir,final_dir,dir_correct,MAE,RMSE,DirectionAcc,Coverage_95,Sharpe,WinRate,triggered,ts_pre_signal,llm_signal,disagreement,debate_abstained,debate_confidence,event_VaR,expected_MDD,tail_prob,risk_lo,risk_hi,dispersion,CAR_dir_T1,CAR_dir_T3,CAR_dir_T5,CAR_dir_T10
2020-01-01,央行宣布全面下调金融机构存款准备金率0.5个百分点（自1月6日起实施）,801780,-0.010662,-,+,False,0.0487,0.0515,0.4583,0.9167,-3.4248,0.4583,True,+,+,False,,,-0.09713,0.0,0.05,-0.09713,0.12902,0.0,True,True,True,False
2020-01-01,央行宣布全面下调金融机构存款准备金率0.5个百分点（自1月6日起实施）,801790,-0.019126,-,+,False,0.0259,0.0334,0.5833,0.8333,-2.3825,0.5833,False,+,+,False,,,-0.09337,0.0,0.05,-0.09337,0.15455,0.0,True,True,False,False
2020-01-01,央行宣布全面下调金融机构存款准备金率0.5个百分点（自1月6日起实施）,801180,-0.010388,-,+,False,0.0145,0.0228,0.4583,0.9167,0.7464,0.4583,False,+,+,False,,,-0.09645,0.00286,0.05,-0.09645,0.13242,0.0,False,False,False,False
2020-02-03,央行开展1.2万亿元逆回购操作并下调7天、14天逆回购中标利率10个基,801780,-0.026806,-,+,False,0.0387,0.044,0.5417,0.875,-0.4482,0.5417,True,+,+,False,,,-0.09513,0.0,0.05,-0.09513,0.13398,0.0,False,False,False,False
2020-02-03,央行开展1.2万亿元逆回购操作并下调7天、14天逆回购中标利率10个基,801790,-0.027079,-,+,False,0.0248,0.033,0.5833,0.7917,1.1705,0.5833,False,+,+,False,,,-0.12279,0.0,0.05,-0.12279,0.15871,0.0,False,False,False,False
2020-02-03,央行开展1.2万亿元逆回购操作并下调7天、14天逆回购中标利率10个基,801180,-0.02662,-,+,False,0.0153,0.0248,0.5417,0.875,-2.1756,0.5,False,+,+,False,,,-0.12674,0.0,0.05,-0.12674,0.17519,0.0,False,False,False,False
2020-02-17,央行开展中期借贷便利（MLF）操作，1年期中标利率下调10个基点至3.,801780,-0.032234,-,+,False,0.0563,0.0591,0.375,0.9167,-4.9756,0.375,True,+,+,False,,,-0.12302,0.0,0.05,-0.12302,0.1823,0.0,True,True,True,False
2020-02-17,央行开展中期借贷便利（MLF）操作，1年期中标利率下调10个基点至3.,801790,0.020116,+,+,True,0.0295,0.0342,0.375,0.875,-2.3403,0.375,False,+,+,False,,,-0.1483,0.0,0.05,-0.1483,0.2166,0.0,True,True,True,False
2020-02-17,央行开展中期借贷便利（MLF）操作，1年期中标利率下调10个基点至3.,801180,-0.046862,-,+,False,0.0175,0.0216,0.375,0.9583,-5.5213,0.375,False,+,+,False,,,-0.18413,0.00298,0.05,-0.18413,0.21906,0.0,True,True,True,False
2020-02-20,LPR下调：1年期降至4.05%(-10bp)，5年期降至4.75%(,801780,-0.012185,-,+,False,0.0493,0.0532,0.4167,0.8333,-3.6525,0.4167,True,+,+,False,,,-0.09112,0.0,0.05,-0.09112,0.16574,0.0,True,False,False,False
